LTLACode,2019-03,2019-06,2019-09,2019-12,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12,2022-03
E08000026,"180,000","180,000","181,998","181,998","183,000","184,000","185,000","187,000","192,000","196,500","200,000","205,000","205,000"
E08000027,"165,000","165,000","169,975","173,000","175,000","178,000","180,000","185,000","194,950","200,000","200,000","200,000","200,000"
E08000028,"150,000","150,000","153,000","154,950","155,000","155,000","155,995","160,000","165,000","169,000","174,000","175,000","180,000"
E08000029,"275,000","275,000","277,000","277,950","280,000","283,375","289,950","300,000","319,950","330,000","323,250","320,000","310,750"
E08000030,"158,000","157,000","157,000","157,000","155,000","157,000","159,000","164,950","172,000","180,000","185,000","185,000","185,000"
E08000031,"150,000","150,000","150,750","153,250","155,000","158,600","162,500","167,000","174,500","175,000","177,000","179,000","179,000"
E06000031,"189,995","192,000","195,000","202,000","205,000","208,873","210,000","210,000","218,375","220,000","220,000","220,000","220,000"
E06000032,"250,000","245,000","243,000","245,000","245,000","250,000","252,000","260,000","262,000","270,000","271,500","275,000","280,000"
E06000033,"282,000","285,000","290,000","285,000","288,000","292,250","290,000","300,000","315,000","325,000","325,000","325,000","322,000"
E06000034,"287,000","287,000","286,500","282,000","285,000","285,000","290,000","300,000","310,000","318,000","318,995","318,000","320,000"
E06000055,"280,000","285,000","282,500","280,000","284,973","280,000","284,995","288,000","295,000","300,750","304,975","305,000","300,000"
E06000056,"316,000","315,000","315,000","315,000","313,701","311,000","315,000","322,500","330,000","335,000","335,000","330,000","325,000"
E07000008,"435,000","437,500","435,000","435,000","426,000","425,000","435,000","440,000","450,000","450,000","450,000","450,000","455,000"
E07000009,"285,000","285,000","289,973","295,000","297,995","300,000","301,500","310,000","319,000","325,000","325,000","320,000","315,250"
E07000010,"189,995","187,500","189,998","190,000","192,500","195,000","198,250","202,000","207,250","210,000","215,000","215,000","215,000"
E07000011,"270,000","275,000","275,000","280,000","280,000","278,000","283,000","290,000","300,000","300,000","295,000","292,500","285,000"
E07000012,"360,000","360,000","364,140","370,000","375,000","378,380","379,998","390,000","400,000","400,000","396,750","395,000","385,000"
E07000066,"295,000","295,000","295,000","300,000","300,000","301,750","305,000","319,500","335,000","342,500","340,000","335,000","330,000"
E07000067,"280,000","289,995","290,000","290,000","290,000","286,000","290,000","299,995","309,475","312,000","310,000","310,000","309,995"
E07000068,"420,000","412,250","405,500","415,000","420,000","422,500","450,000","467,750","485,000","490,000","478,000","475,000","475,000"
E07000069,"300,000","300,000","300,000","300,000","300,000","300,000","301,750","315,000","325,000","330,000","332,600","335,000","338,000"
E07000070,"344,995","350,000","355,000","350,000","357,000","359,998","355,875","377,000","385,000","380,000","380,000","375,000","375,000"
E07000071,"272,000","272,000","273,000","270,000","273,750","272,000","275,000","282,000","300,000","305,000","305,000","305,000","300,000"
E07000072,"453,000","452,000","450,000","450,000","450,000","458,000","475,000","485,000","500,000","500,000","499,995","500,000","496,000"
E07000073,"279,995","285,000","285,000","287,500","287,500","285,000","289,995","296,000","310,000","312,000","310,000","308,000","305,000"
E07000074,"325,000","328,000","320,000","320,000","320,000","320,000","325,000","335,000","345,000","350,000","351,250","353,250","350,000"
E07000075,"335,000","335,000","335,000","332,500","335,000","334,000","335,000","350,000","365,000","370,000","370,000","367,500","365,000"
E07000076,"232,000","235,000","238,000","240,000","240,000","239,995","240,000","248,000","258,000","265,000","262,500","260,000","256,500"
E07000077,"420,000","420,000","417,000","407,500","409,498","403,000","415,000","435,000","450,000","445,000","440,000","434,000","427,750"
E07000095,"350,000","350,000","350,000","357,000","360,000","360,000","367,000","375,000","385,000","393,500","395,000","393,000","390,000"
E07000096,"375,000","375,000","372,750","371,000","380,000","380,000","392,000","410,000","420,000","433,000","425,000","425,000","420,500"
E07000098,"446,500","440,000","435,000","440,000","445,000","455,000","467,078","485,000","515,000","525,000","527,000","530,000","530,000"
E07000099,"335,000","341,990","350,000","350,000","354,750","360,000","365,000","388,000","397,500","397,000","395,000","385,000","382,650"
E07000102,"470,000","460,000","465,000","465,000","461,000","476,250","474,500","480,000","500,000","495,000","494,850","500,000","493,250"
E07000103,"365,000","360,250","360,000","367,250","365,000","368,128","375,125","378,500","395,000","400,000","395,000","395,000","392,000"
E07000143,"220,000","220,000","218,000","219,995","220,000","220,000","225,000","235,000","245,000","250,000","250,000","250,000","250,000"
E07000144,"250,000","250,250","255,000","253,000","251,500","255,000","255,498","265,000","272,500","275,000","275,000","278,000","280,000"
E07000145,"175,000","180,000","180,000","182,500","183,560","185,000","187,250","190,000","198,500","205,000","206,000","205,000","205,000"
E07000146,"212,500","217,000","219,995","222,450","225,000","222,500","225,000","235,000","245,000","255,000","250,000","250,000","250,000"
E07000147,"247,250","249,950","250,000","252,995","259,500","257,450","260,000","275,000","285,000","295,000","295,000","291,500","290,000"
E07000148,"194,750","190,000","192,000","195,000","195,500","197,500","197,500","205,000","210,000","213,000","218,000","217,500","219,000"
E07000149,"257,000","259,995","260,000","260,000","260,000","260,000","260,000","270,000","280,000","285,000","283,987","285,000","280,000"
E07000200,"275,000","278,500","280,000","280,000","280,000","281,500","285,000","300,000","316,750","322,500","320,000","325,000","315,000"
E07000202,"200,000","200,000","200,000","200,000","200,000","200,000","200,500","206,000","215,000","220,000","225,000","225,000","223,000"
E07000203,"265,000","260,000","260,000","260,000","262,000","263,000","266,000","280,000","295,000","300,000","300,000","300,000","290,000"
E07000240,"528,000","535,000","530,000","550,000","540,000","535,000","550,000","550,000","580,000","585,000","582,500","590,000","590,000"
E07000241,"370,000","372,500","374,000","370,000","370,000","370,000","380,000","392,500","412,500","420,000","417,500","418,250","415,000"
E07000242,"395,000","401,500","405,000","408,240","410,000","409,995","413,000","425,000","430,000","435,000","428,375","420,000","415,000"
E07000243,"273,000","270,000","270,000","270,000","270,000","273,000","275,000","285,000","292,500","295,000","305,000","305,000","310,000"
E07000244,"235,000","235,000","236,000","238,950","240,000","240,000","245,125","260,000","270,000","280,000","275,000","271,000","267,500"
E07000245,"250,000","250,000","251,894","255,000","254,995","250,000","250,000","255,000","270,000","275,000","271,000","270,000","270,000"
E09000001,"930,000","923,080","919,325","865,000","897,750","895,000","895,000","883,500","800,000","762,500","756,250","771,750","790,000"
E09000002,"310,000","313,000","315,250","315,000","318,000","317,750","320,000","322,500","325,000","330,000","335,000","340,000","345,000"
E09000003,"500,000","507,750","515,000","520,000","527,500","541,000","554,600","560,000","575,000","574,000","575,000","583,000","585,000"
E09000004,"355,000","355,000","355,000","357,000","360,000","358,000","367,000","375,000","390,000","395,000","391,500","392,500","393,700"
E09000005,"495,000","495,000","497,500","489,000","485,000","489,000","490,000","510,000","525,000","530,000","530,000","534,000","535,000"
E09000006,"435,500","435,000","440,000","440,000","445,000","448,000","450,000","470,000","485,000","500,000","498,000","495,000","497,750"
E09000007,"765,000","775,000","775,000","783,307","800,000","790,000","800,000","807,500","800,000","775,000","765,000","761,500","755,000"
E09000008,"380,000","387,000","385,000","385,000","385,000","384,000","390,000","400,000","410,000","415,500","415,000","410,750","408,250"
E09000009,"470,000","475,000","470,000","467,750","470,000","472,500","485,000","505,000","525,000","530,000","525,000","525,000","525,000"
E09000010,"400,000","407,250","409,000","412,000","415,000","410,000","419,498","425,000","440,000","455,000","460,000","459,950","450,100"
E09000011,"440,000","450,000","457,800","460,000","462,500","465,000","445,000","461,500","460,000","460,000","460,000","445,000","440,000"
