MSOACode,2019-03,2019-06,2019-09,2019-12,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12,2022-03
E02005216,"116,551","118,530","114,376","115,771","112,090","105,787","104,431","106,286","105,218","110,150","116,767","116,143","123,049"
E02005217,"67,122","66,990","65,048","67,935","67,397","68,864","65,634","65,018","69,528","72,185","77,978","83,214","84,540"
E02005218,"106,904","108,825","106,328","107,116","107,972","112,326","117,963","118,732","118,745","119,449","118,105","118,752","122,052"
E02005219,"125,220","128,986","138,587","138,911","152,285","148,392","151,499","155,887","157,401","163,827","173,340","174,131","184,944"
E02005220,"139,730","138,210","134,035","131,451","137,192","136,135","133,687","140,990","143,717","154,040","160,322","164,887","166,330"
E02001327,"112,544","130,213","145,405","151,823","156,341","159,321","156,760","158,052","151,641","143,874","135,697","128,515","131,772"
E02001328,"140,649","144,535","148,278","149,682","153,320","150,891","145,976","142,557","142,777","144,130","152,689","158,062","166,948"
E02001329,"128,897","131,436","139,435","142,850","143,163","147,433","143,285","137,796","132,594","131,410","128,916","133,061","136,844"
E02001330,"91,544","92,491","92,792","96,041","100,161","106,827","113,035","115,969","113,324","110,297","110,545","114,048","116,531"
E02001331,"130,097","125,820","131,112","128,293","140,732","151,001","158,809","179,315","180,055","189,311","194,753","187,642","185,868"
E02001332,"120,749","128,465","130,605","131,121","135,845","135,779","139,168","135,866","129,223","128,879","130,668","131,869","134,472"
E02001333,"159,265","171,170","173,959","178,179","180,987","177,513","180,281","174,217","172,765","173,861","172,192","168,231","164,148"
E02001334,"110,298","109,619","111,404","113,830","113,564","109,187","123,201","134,545","136,049","138,345","141,454","136,453","140,003"
E02001335,"168,420","174,556","178,624","176,091","183,699","182,883","171,648","167,497","163,538","163,958","170,054","175,805","181,475"
E02001336,"91,919","95,690","102,541","106,309","105,239","104,165","98,293","102,871","110,800","116,932","119,761","124,422","122,794"
E02001337,"129,558","135,679","149,229","150,743","158,862","159,201","159,711","166,330","156,063","154,755","157,406","159,897","172,252"
E02001338,"180,732","176,860","186,478","183,455","180,279","182,342","177,811","189,484","195,694","188,976","173,923","153,906","142,314"
E02001339,"124,032","123,038","130,486","130,704","127,230","125,417","126,052","126,265","140,808","139,855","144,501","146,574","141,659"
E02001340,"176,423","189,765","192,859","197,282","192,716","186,573","189,988","191,841","193,333","195,405","199,367","204,727","214,216"
E02001341,"129,441","125,219","125,838","119,033","123,205","121,724","121,337","123,409","128,230","149,674","154,117","163,096","165,095"
E02001342,"194,527","206,485","205,297","223,509","229,488","232,645","241,209","236,941","232,491","232,931","233,419","239,867","250,351"
E02001343,"211,631","219,096","194,312","187,269","182,324","176,628","186,050","192,605","208,235","219,117","227,801","239,073","231,827"
E02001344,"171,269","168,302","170,113","177,769","177,120","176,710","180,545","181,623","200,916","208,273","210,578","220,698","217,360"
E02001345,"159,276","155,228","157,316","158,975","155,714","163,306","163,445","169,022","172,210","172,607","178,666","182,218","186,719"
E02001346,"131,396","127,527","135,870","141,772","141,732","153,676","153,092","157,291","167,586","162,990","160,215","154,921","147,190"
E02005221,"199,897","203,231","207,644","217,076","218,163","209,403","210,358","218,376","229,844","239,697","235,066","235,958","229,071"
E02005222,"305,542","320,642","320,731","336,868","336,979","329,871","342,377","339,115","381,767","400,570","385,983","395,732","384,444"
E02005223,"263,466","255,149","247,206","232,422","236,341","240,782","247,473","256,706","267,416","275,589","284,579","299,368","308,373"
E02005224,"162,485","167,331","187,951","193,988","205,232","211,812","200,711","201,894","213,158","212,348","208,573","208,351","206,677"
E02005225,"251,967","256,506","254,046","258,466","252,690","261,860","273,043","273,664","290,783","292,574","278,926","286,081","270,495"
E02005226,"107,551","105,430","110,733","112,705","110,888","112,739","113,160","111,783","117,672","123,074","122,076","127,213","129,101"
E02005228,"119,318","121,024","120,875","121,536","123,978","125,772","129,261","131,160","135,250","137,501","141,760","141,734","147,123"
E02005229,"105,992","110,324","107,057","115,969","118,245","117,128","120,706","120,345","132,479","139,225","143,479","143,775","143,755"
E02005230,"138,771","139,028","130,968","133,067","135,639","136,516","139,560","139,938","140,021","151,515","154,199","155,415","157,453"
E02005231,"115,097","111,863","117,090","116,242","121,214","121,009","116,737","116,986","119,498","127,082","129,538","134,237","134,122"
E02005233,"206,798","205,646","210,489","211,304","215,448","208,065","200,541","190,556","199,572","206,585","204,844","206,594","205,455"
E02005234,"167,191","170,175","159,884","158,604","146,143","142,876","142,131","154,403","164,288","167,992","170,800","167,310","162,021"
E02005235,"151,305","152,155","147,898","146,241","141,088","141,613","138,607","134,990","146,328","144,643","151,313","157,516","149,468"
E02005236,"161,701","168,168","167,613","163,636","166,387","161,556","163,819","168,378","177,099","184,701","192,262","196,840","196,414"
E02005237,"196,903","193,057","183,876","184,267","185,209","182,061","190,806","215,813","231,007","232,775","230,783","217,814","206,703"
E02005238,"178,324","177,971","183,463","179,601","182,090","188,189","190,238","184,406","194,810","193,933","195,028","200,949","203,257"
E02005239,"221,315","222,680","209,965","216,829","226,104","244,284","264,446","281,497","280,975","283,148","272,877","266,096","257,403"
E02006871,"161,724","167,416","164,743","166,938","167,307","162,738","172,927","176,880","181,687","190,332","192,960","195,134","199,459"
E02001347,"137,084","124,653","123,913","123,045","126,878","123,597","129,690","126,283","126,582","134,356","137,188","140,896","145,419"
E02001348,"99,623","98,018","100,775","105,018","104,954","108,355","116,259","117,404","122,318","121,186","121,115","122,800","124,826"
E02001349,"120,116","120,563","120,882","121,351","117,348","117,759","116,344","119,023","123,493","129,509","136,249","136,760","138,214"
E02001350,"105,805","104,943","102,159","103,824","104,886","103,187","112,757","114,013","117,496","128,530","133,765","140,263","144,802"
E02001351,"84,737","87,328","87,088","83,770","93,282","93,472","97,003","108,804","109,083","122,522","121,893","121,274","121,378"
E02001352,"91,743","92,175","94,137","100,846","99,715","98,440","102,523","95,470","103,059","109,099","112,234","123,227","123,106"
E02001353,"135,720","141,037","152,405","154,042","155,382","150,299","147,631","149,500","160,041","167,363","166,159","168,089","167,125"
E02001354,"89,929","90,022","94,241","99,546","104,036","102,223","99,883","100,809","102,611","108,760","114,349","120,016","123,078"
E02001355,"80,439","78,202","78,371","77,306","79,805","83,778","85,245","85,312","91,522","94,914","105,594","110,242","111,116"
E02001356,"149,496","152,263","149,500","148,546","145,807","139,079","132,849","123,057","133,188","140,390","143,617","146,898","144,604"
E02001357,"90,523","93,702","98,597","101,044","100,078","102,353","104,426","109,588","111,395","114,776","117,224","119,406","119,593"
E02001358,"57,887","59,336","59,280","62,914","62,127","65,730","68,975","68,701","73,431","73,351","76,395","80,713","83,481"
E02001359,"184,368","170,891","173,955","175,658","167,587","179,019","183,415","195,434","185,337","183,099","191,360","191,178","196,821"
E02001360,"83,744","82,951","79,500","73,482","72,447","68,618","74,483","79,714","81,617","86,135","90,406","95,710","103,268"
E02001361,"89,080","87,656","92,941","92,218","95,090","97,999","95,748","102,214","112,793","121,937","125,393","125,002","125,033"
E02001362,"136,484","130,712","127,319","135,228","132,892","134,067","139,628","139,943","148,327","153,091","161,492","164,030","169,259"
E02001363,"105,047","113,426","113,326","115,179","120,827","119,356","125,399","124,248","123,584","123,283","118,101","118,061","126,139"
E02001364,"95,614","98,231","103,122","122,477","128,335","130,157","132,329","132,867","121,629","115,186","99,771","94,211","101,364"
E02001365,"68,723","69,011","68,261","70,304","68,331","68,232","70,102","73,987","78,686","84,547","88,663","90,757","97,620"
E02001366,"102,693","100,861","101,933","98,544","101,176","103,236","104,486","105,483","107,768","110,788","113,872","124,529","128,181"
E02001367,"222,638","213,140","214,099","204,703","205,166","202,670","206,998","207,114","216,543","230,373","227,258","235,178","233,709"
E02001368,"110,748","100,638","94,433","92,634","98,769","105,250","115,405","114,800","126,908","150,004","169,512","175,947","173,425"
E02001369,"64,901","65,483","64,221","77,609","81,974","91,820","102,729","103,892","107,953","100,885","96,938","99,585","99,884"
E02001370,"72,840","80,849","81,716","83,426","78,392","73,050","71,224","72,933","88,741","94,422","100,247","102,076","105,698"
E02001371,"99,815","100,369","104,327","103,089","100,434","101,618","98,616","107,885","109,938","111,841","120,718","121,178","129,449"
E02001372,"146,867","157,013","162,844","154,360","146,259","145,809","143,576","154,121","169,448","181,402","184,492","182,580","179,204"
E02001373,"104,472","108,198","107,374","106,674","110,453","110,580","110,808","114,146","117,355","122,283","127,192","133,017","135,597"
E02001374,"117,336","117,410","121,771","119,571","119,594","115,032","113,663","118,182","131,846","137,475","137,269","148,044","151,440"
E02001375,"100,950","100,735","99,272","103,058","106,950","109,419","117,025","116,284","119,424","118,625","119,625","120,667","122,720"
E02001376,"77,265","79,149","84,157","88,080","90,924","90,457","97,866","96,420","101,637","111,513","115,310","122,970","124,366"
E02001377,"129,713","128,036","128,708","136,461","134,413","134,482","142,346","143,406","147,348","153,601","153,882","154,019","157,964"
E02001378,"128,580","142,106","140,231","142,360","141,348","138,519","146,608","147,252","161,354","169,857","162,402","159,683","170,596"
E02001380,"194,591","196,025","193,058","203,057","205,815","207,004","211,814","211,692","223,409","228,512","232,178","238,506","248,774"
E02001381,"93,786","96,933","94,249","95,895","96,480","94,897","95,468","89,928","91,289","92,454","95,529","104,289","112,298"
E02001382,"219,660","219,682","218,561","227,767","230,242","228,861","240,800","247,605","250,628","263,492","266,212","277,920","282,494"
E02001383,"167,619","180,324","115,303","106,658","101,972","101,283","117,732","137,030","155,150","171,866","174,550","187,812","186,913"
E02001384,"128,309","125,077","125,010","124,839","121,577","126,600","131,879","138,881","150,124","152,375","157,019","159,380","164,478"
E02001385,"89,128","101,441","109,691","116,531","106,682","98,140","85,370","91,903","109,337","111,958","122,301","119,805","107,457"
E02001386,"127,096","136,487","136,755","140,800","144,482","142,800","144,113","150,287","155,344","157,072","159,903","156,781","153,358"
E02001387,"321,214","318,030","335,851","313,522","310,839","325,646","313,496","321,303","337,941","352,656","342,614","342,976","338,257"
E02001388,"195,101","199,957","201,675","204,803","199,896","200,391","201,663","199,120","213,315","218,930","224,557","229,300","230,183"
E02001389,"124,619","126,070","135,259","152,631","157,193","170,789","166,749","170,117","171,344","173,961","177,203","162,607","149,648"
E02001390,"107,466","103,833","101,532","96,933","101,994","107,877","113,423","116,674","121,926","118,225","131,052","131,102","132,197"
E02001391,"95,301","99,790","104,775","103,170","105,065","101,755","101,346","108,820","113,444","123,924","123,200","126,954","127,736"
E02001392,"315,599","322,546","309,917","303,406","304,767","274,268","278,165","321,542","323,869","346,376","367,330","353,203","379,437"
E02001393,"419,401","404,366","416,551","440,081","429,515","442,816","464,025","468,096","483,918","498,712","479,886","481,002","485,489"
E02001394,"226,953","230,020","219,395","230,573","236,480","238,650","263,389","263,313","258,548","266,070","256,963","246,752","250,392"
E02001395,"232,041","231,717","236,183","232,145","238,562","242,753","240,131","246,838","254,685","264,542","277,539","293,507","293,834"
E02001396,"137,076","142,098","138,735","146,636","160,016","154,661","160,275","159,991","161,446","166,766","170,281","177,516","174,863"
E02001397,"212,537","216,523","223,029","205,411","206,154","209,185","215,456","220,141","246,687","251,625","248,980","260,258","251,705"
E02001398,"234,337","226,658","229,626","220,325","232,912","233,332","259,936","263,109","264,381","281,636","264,026","266,453","267,852"
E02001399,"294,485","290,839","294,390","295,876","292,819","298,696","304,793","310,886","326,539","334,329","334,498","340,806","351,925"
E02001400,"202,276","203,156","215,339","212,133","197,319","207,355","205,938","248,960","282,798","282,779","309,756","310,682","317,800"
E02001401,"183,668","188,483","201,196","199,048","199,649","210,091","216,717","220,094","225,248","224,655","227,107","232,677","237,980"
E02001402,"253,293","261,529","266,620","256,510","260,225","253,564","247,643","253,142","269,454","287,191","301,343","315,058","323,499"
E02001403,"160,307","155,458","153,858","146,013","138,118","137,047","137,671","148,870","152,729","158,198","164,909","161,832","169,663"
E02001404,"140,418","129,214","136,645","140,709","146,876","148,955","148,999","152,428","150,858","147,612","145,026","139,614","142,013"
E02001405,"106,160","109,723","113,413","110,496","107,333","104,529","102,933","113,628","115,833","118,255","118,213","119,903","117,769"
E02006932,"98,054","106,254","109,185","93,752","91,403","84,243","81,602","101,551","127,867","143,401","154,365","158,769","142,302"
E02006933,"155,181","152,507","147,280","146,255","163,634","182,258","195,451","204,108","192,663","188,854","196,040","189,626","199,740"
E02006934,"167,477","171,353","174,024","173,835","180,547","185,081","180,294","183,108","174,014","168,540","171,339","168,564","168,567"
E02001045,"121,062","124,156","128,547","125,347","124,546","124,924","129,596","135,001","168,548","164,136","163,006","174,903","162,367"
E02001046,"151,646","152,291","154,362","136,599","139,621","139,276","143,658","153,477","157,702","169,104","172,983","177,096","186,683"
E02001047,"121,714","122,840","127,338","135,418","136,739","139,087","141,789","148,833","161,493","164,199","173,909","176,957","180,470"
E02001048,"178,574","160,479","162,471","151,712","160,682","172,190","169,003","174,325","178,278","174,445","176,430","178,766","194,811"
E02001049,"134,201","138,981","142,029","146,361","149,889","151,211","154,133","164,639","166,758","178,523","178,515","179,674","189,695"
E02001050,"102,952","106,755","109,469","112,101","112,638","111,232","114,577","117,201","127,499","133,703","138,490","144,499","139,686"
E02001051,"117,921","119,878","121,418","121,219","124,695","127,219","131,623","135,407","139,747","142,022","149,604","151,284","161,480"
E02001052,"136,861","140,435","139,102","145,627","148,798","149,508","148,533","150,159","156,737","165,384","176,304","172,952","179,853"
E02001053,"98,521","99,358","107,491","109,561","111,315","111,944","106,462","112,749","124,261","130,537","133,422","137,061","145,032"
E02001055,"123,725","127,413","128,576","127,590","126,877","123,022","130,672","136,874","146,196","150,430","150,000","154,201","155,495"
E02001056,"109,028","107,786","111,454","111,973","115,346","120,665","119,346","127,164","130,467","137,868","143,303","145,368","149,409"
E02001057,"211,061","225,553","235,337","236,147","242,064","241,840","233,603","234,569","229,175","229,767","237,103","235,012","235,120"
E02001059,"152,811","154,180","148,445","146,489","148,335","149,862","151,420","141,542","144,084","154,446","163,086","161,865","170,282"
E02001061,"141,126","140,399","139,032","139,474","145,908","146,657","153,151","158,915","168,031","176,964","177,615","179,929","174,355"
E02001062,"183,528","189,049","196,906","219,688","232,884","248,036","255,135","252,385","253,916","255,693","243,906","235,513","222,458"
E02001063,"153,962","156,537","155,632","158,695","159,309","179,669","198,734","202,200","203,038","201,477","183,395","171,180","177,216"
E02001064,"171,024","173,477","179,782","180,001","177,494","170,928","163,260","148,372","157,467","169,351","168,944","169,869","164,332"
E02001065,"110,427","110,363","116,759","119,320","121,005","124,077","125,666","125,843","131,282","134,471","139,060","157,988","162,687"
E02001066,"171,885","166,333","157,823","155,559","152,750","156,820","164,908","170,311","186,450","188,519","191,194","192,615","195,831"
E02001067,"141,942","151,816","156,287","162,701","162,183","157,988","155,209","140,095","131,178","139,040","138,860","142,235","147,978"
E02001068,"171,433","150,320","149,755","149,492","142,552","142,923","140,189","146,415","152,173","164,199","177,796","184,032","184,114"
E02001069,"151,642","146,620","146,487","148,763","148,155","151,468","151,758","156,232","159,210","161,871","160,464","161,097","172,482"
E02001070,"176,684","189,882","183,363","187,035","178,644","158,048","185,444","184,337","186,410","197,882","185,282","191,348","200,898"
E02001071,"130,653","130,476","129,214","130,968","136,599","140,876","147,820","149,459","156,315","168,011","171,469","174,134","173,881"
E02001072,"227,568","237,428","258,488","254,979","277,220","271,827","251,956","269,116","291,246","295,964","301,083","296,799","278,974"
E02001073,"329,744","319,446","313,675","307,732","305,352","321,597","335,551","346,574","364,671","376,234","386,648","387,711","379,491"
E02001074,"174,506","184,254","197,108","216,260","235,195","232,792","233,252","230,861","231,228","224,379","211,225","208,919","202,860"
E02001075,"164,421","168,785","180,829","188,047","191,177","192,113","190,869","202,742","210,824","224,358","232,053","220,609","224,165"
E02001076,"212,488","232,675","239,250","227,247","237,365","230,014","219,923","230,593","218,978","230,682","234,483","232,657","242,017"
E02001077,"353,310","364,213","372,925","365,413","352,083","333,195","313,369","357,261","377,253","383,142","403,874","382,326","383,814"
E02001078,"199,367","209,119","218,368","225,021","229,289","230,077","234,211","242,975","264,469","259,895","259,793","256,027","245,394"
E02001079,"213,277","217,976","214,276","213,254","221,338","222,103","235,890","234,887","235,032","243,409","243,642","250,619","251,551"
E02001080,"190,778","188,751","200,799","195,339","191,406","190,117","189,200","206,319","225,868","228,321","234,504","238,099","241,532"
E02001081,"356,444","335,853","315,592","319,690","324,385","328,758","336,156","347,890","363,587","370,896","387,179","405,320","404,193"
E02001082,"261,335","264,809","275,212","286,657","299,561","301,574","308,315","309,365","315,737","328,615","346,942","366,333","382,688"
E02001083,"342,556","372,667","386,770","394,162","365,519","347,714","343,239","347,809","371,392","372,534","367,261","349,048","344,788"
E02001084,"299,483","303,422","290,943","281,633","296,011","288,620","314,076","316,674","318,750","325,763","317,801","314,822","321,612"
E02001085,"193,536","203,014","205,562","207,596","207,914","205,265","206,063","214,370","226,998","226,345","234,489","236,435","246,953"
